VF, IF
-10.0, -4.468e-06
-9.8, -4.5188e-06
-9.6, -4.5523e-06
-9.4, -4.5669e-06
-9.2, -4.5642e-06
-9.0, -4.5686e-06
-8.8, -4.5619e-06
-8.6, -4.5493e-06
-8.4, -4.5321e-06
-8.2, -4.5092e-06
-8.0, -4.4769e-06
-7.8, -4.4503e-06
-7.6, -4.4196e-06
-7.4, -4.3916e-06
-7.2, -4.3513e-06
-7.0, -4.3078e-06
-6.8, -4.2596e-06
-6.6, -4.2133e-06
-6.4, -4.1608e-06
-6.2, -4.1019e-06
-6.0, -4.0355e-06
-5.8, -3.9651e-06
-5.6, -3.8909e-06
-5.4, -3.8135e-06
-5.2, -3.7363e-06
-5.0, -3.6513e-06
-4.8, -3.5586e-06
-4.6, -3.4676e-06
-4.4, -3.3664e-06
-4.2, -3.2639e-06
-4.0, -3.1541e-06
-3.8, -3.0348e-06
-3.6, -2.9211e-06
-3.4, -2.7893e-06
-3.2, -2.6641e-06
-3.0, -2.5281e-06
-2.8, -2.3978e-06
-2.6, -2.2483e-06
-2.4, -2.0995e-06
-2.2, -1.9488e-06
-2.0, -1.7956e-06
-1.8, -1.6316e-06
-1.6, -1.4688e-06
-1.4, -1.2953e-06
-1.2, -1.1224e-06
-1.0, -9.472e-07
-0.8, -7.637e-07
-0.6, -5.7635e-07
-0.4, -3.8942e-07
-0.2, -1.9636e-07
0.0, 5.652e-11
0.2, 1.9877e-07
0.4, 4.0461e-07
0.6, 6.169e-07
0.8, 8.3406e-07
1.0, 1.0574e-06
1.2, 1.2884e-06
1.4, 1.5162e-06
1.6, 1.7577e-06
1.8, 2.0624e-06
2.0, 2.3163e-06
2.2, 2.5079e-06
2.4, 2.7729e-06
2.6, 3.0357e-06
2.8, 3.3057e-06
3.0, 3.5752e-06
3.2, 3.8568e-06
3.4, 4.1443e-06
3.6, 4.4308e-06
3.8, 4.7135e-06
4.0, 5.007e-06
4.2, 5.3029e-06
4.4, 5.6029e-06
4.6, 5.8902e-06
4.8, 6.2006e-06
5.0, 6.5224e-06
5.2, 6.8406e-06
5.4, 7.1434e-06
5.6, 7.4553e-06
5.8, 7.798e-06
6.0, 8.1075e-06
6.2, 8.4078e-06
6.4, 8.7563e-06
6.6, 9.1453e-06
6.8, 9.4756e-06
7.0, 9.7635e-06
7.2, 1.0104e-05
7.4, 1.0459e-05
7.6, 1.0792e-05
7.8, 1.1193e-05
8.0, 1.1585e-05
8.2, 1.18e-05
8.4, 1.2158e-05
8.6, 1.2503e-05
8.8, 1.2845e-05
9.0, 1.3249e-05
9.2, 1.3609e-05
9.4, 1.3925e-05
9.6, 1.437e-05
9.8, 1.5041e-05
10.0, 1.5443e-05
